participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.payoff,player.id_in_group,player.payoff,player.cash,player.shares,player.periods_until_auto_buy,player.periods_until_auto_sell,player.shares_transacted,player.trans_cost,player.cash_after_trade,player.interest_earned,player.dividend_earned,player.cash_result,player.shares_result,player.f0,player.f1,player.f2,player.f3,player.fcast_rnd_0,player.fcast_rnd_1,player.fcast_rnd_2,player.fcast_rnd_3,player.forecast_error,player.forecast_reward,player.risk_1,player.risk_2,player.risk_3,player.risk_4,player.risk_rh,player.risk_rl,player.risk_sh,player.risk_sl,player.risk_phi_1,player.risk_phi_2,player.risk_phi_3,player.risk_phi_4,player.dose_r,player.dose_mu,group.id_in_subsession,group.price,group.volume,group.dividend,group.float,group.short,group.is_practice,subsession.round_number,session.code,session.label,session.mturk_HITId,session.is_demo
6,a053vavw,60c4e1091b936c7b812e5af4,0,400,401,payment,FinalResultsPage,45342.73789,1,722.43,7,0,109,4,-99,-99,-4,64,173,8.65,0,181.65,0,15,16,15,16,2,4,7,12,1,5,0,0,0,1,20.5,1.75,9,8.75,28,42,57,82,1.180190574,3.214263017,1,16,10,1,72,0,1,2,lztzt0mf,Pilot 2024-02-20,,0
7,5eiyjet7,5c8db07eb1f89a0016777fe0,0,400,401,payment,FinalResultsPage,45342.73789,1,1010.92,8,0,109,4,-99,-99,0,0,109,5.45,4,118.45,4,,,,,2,4,7,12,,0,0,1,1,0,20.5,1.75,9,8.75,28,42,36,32,-0.240294943,2.985716325,1,16,10,1,72,0,1,2,lztzt0mf,Pilot 2024-02-20,,0
8,xixbk2wi,5d4869cc692e5400197a980c,0,400,401,payment,FinalResultsPage,45342.73789,1,1159.59,9,0,94.25,5,-99,-99,0,0,94.25,4.71,5,103.96,5,15,15,15,15,2,4,7,12,1,5,0,0,0,0,20.5,1.75,9,8.75,28,42,57,82,0.952276227,3.628598995,1,16,10,1,72,0,1,2,lztzt0mf,Pilot 2024-02-20,,0
9,6w7zusl6,614f89a9441723072040d4de,0,400,401,payment,FinalResultsPage,45342.73797,1,876.38,10,0,153.25,1,-99,-99,0,0,153.25,7.66,1,161.91,1,13,13,14,14,2,4,7,12,3,0,0,1,0,1,20.5,1.75,9,8.75,28,42,36,48,0.833818149,2.474089145,1,16,10,1,72,0,1,2,lztzt0mf,Pilot 2024-02-20,,0
10,aq32twsx,5e5e623737be5e1762ad4418,0,400,401,payment,FinalResultsPage,45342.73809,1,394.55,11,0,168,0,-99,-99,2,-32,136,6.8,2,144.8,2,7,6,27,12,2,4,7,12,9,0,1,0,0,0,20.5,1.75,9,8.75,28,19,24,31,-0.362679773,2.953880049,1,16,10,1,72,0,1,2,lztzt0mf,Pilot 2024-02-20,,0
11,3fjd4p07,5f3d6975ef131710ed519c7a,0,400,401,payment,FinalResultsPage,45342.73834,1,388.05,12,0,64.75,7,-99,-99,3,-48,16.75,0.84,10,27.59,10,6,11,9,16,2,4,7,12,10,0,1,0,0,0,20.5,1.75,9,8.75,28,19,24,31,-0.362679773,2.953880049,1,16,10,1,72,0,1,2,lztzt0mf,Pilot 2024-02-20,,0
12,grvtqx2k,59d9d9cd8fd07a0001842484,0,400,401,payment,FinalResultsPage,45342.73882,1,1059.89,13,0,109,4,-99,-99,0,0,109,5.45,4,118.45,4,14,16,25,30,2,4,7,12,2,5,0,0,0,1,20.5,1.75,9,8.75,28,42,57,82,1.180190574,3.214263017,1,16,10,1,72,0,1,2,lztzt0mf,Pilot 2024-02-20,,0
13,q3eed83d,650d90ebf26334f992c31579,0,400,401,payment,FinalResultsPage,45342.73893,1,788.16,14,0,109,4,-99,-99,-2,32,141,7.05,2,150.05,2,15,8,11,13,2,4,7,12,1,5,1,0,0,,20.5,1.75,9,8.75,28,19,24,31,-0.611209422,2.888264412,1,16,10,1,72,0,1,2,lztzt0mf,Pilot 2024-02-20,,0
14,5t2lsf81,5ecc6ffce3ca77849333e83e,0,400,401,payment,FinalResultsPage,45342.74059,1,1189.72,15,0,109,4,-99,-99,0,0,109,5.45,4,118.45,4,15,15,15,15,2,4,7,12,1,5,0,0,0,1,20.5,1.75,9,8.75,28,42,57,82,1.180190574,3.214263017,1,16,10,1,72,0,1,2,lztzt0mf,Pilot 2024-02-20,,0
15,kr5aqbg4,62bdc30224534809032cf056,0,400,401,payment,FinalResultsPage,45342.74061,1,1465.68,16,0,109,4,-99,-99,0,0,109,5.45,4,118.45,4,16,18,22,25,2,4,7,12,0,5,,1,0,0,20.5,1.75,9,8.75,28,28,19,24,-0.611209422,2.888264412,1,16,10,1,72,0,1,2,lztzt0mf,Pilot 2024-02-20,,0
16,2q5u7nzm,64c0a2d8031339ab6ec5e54a,0,400,401,payment,FinalResultsPage,45342.74105,1,672.27,17,0,109,4,-99,-99,-1,16,125,6.25,3,134.25,3,20,20,,,2,4,7,12,4,0,,0,0,0,20.5,1.75,9,8.75,28,28,42,57,0.608759512,3.349841983,1,16,10,1,72,0,1,2,lztzt0mf,Pilot 2024-02-20,,0
17,6mcv9x1g,59ac5e9f9fdf6c0001cba8bf,0,400,401,payment,FinalResultsPage,45342.74107,1,1090.24,18,0,94.25,5,-99,-99,2,-32,62.25,3.11,7,72.36,7,15,16,14,13,2,4,7,12,1,5,0,0,0,0,20.5,1.75,9,8.75,28,42,57,82,0.952276227,3.628598995,1,16,10,1,72,0,1,2,lztzt0mf,Pilot 2024-02-20,,0
18,9rew9efn,5e2e7d79acf5fe45b62f859a,0,400,401,payment,FinalResultsPage,45342.74302,1,1176.59,19,0,109,4,-99,-99,0,0,109,5.45,4,118.45,4,1,,,,2,4,7,12,15,0,0,,0,,20.5,1.75,9,8.75,28,42,42,57,0.144098576,2.936932241,1,16,10,1,72,0,1,2,lztzt0mf,Pilot 2024-02-20,,0
1,7yie36v5,561487ad7ffc8a0012812266,0,400,401,payment,FinalResultsPage,45342.73785,1,1286.78,2,0,27.59,10,-99,-99,0,0,27.59,1.38,4,32.97,10,15,18,21,23,3,5,8,13,2,5,0,0,0,1,20.75,1.5,10,9,31,47,65,87,1.192995578,3.176415129,1,17,8,0.4,72,0,1,3,lztzt0mf,Pilot 2024-02-20,,0
2,n7xvxqf6,5dd2f94a238a913096c52317,0,400,401,payment,FinalResultsPage,45342.73786,1,1121.92,3,0,165.85,1,-99,-99,0,0,165.85,8.29,0.4,174.54,1,17,20,22,23,3,5,8,13,0,5,0,0,0,0,20.75,1.5,10,9,31,47,65,87,0.987775552,3.598105209,1,17,8,0.4,72,0,1,3,lztzt0mf,Pilot 2024-02-20,,0
3,37fxkf6n,63cff262503b56190be3eb18,0,400,401,payment,FinalResultsPage,45342.73787,1,944.51,4,0,74.99,7,-99,-99,-3,51,125.99,6.3,1.6,133.89,4,11,12,14,13,3,5,8,13,6,0,1,0,0,1,20.75,1.5,10,9,31,19,25,28,0.133684954,2.369875172,1,17,8,0.4,72,0,1,3,lztzt0mf,Pilot 2024-02-20,,0
4,tua9l5ic,629e241d171ec6698e05f149,0,400,401,payment,FinalResultsPage,45342.73787,1,1089.02,5,0,176.4,0,-99,-99,0,0,176.4,8.82,0,185.22,0,16,16,18,20,3,5,8,13,1,5,0,0,1,0,20.75,1.5,10,9,31,47,65,61,0.499199023,3.38314908,1,17,8,0.4,72,0,1,3,lztzt0mf,Pilot 2024-02-20,,0
5,3z5ajv7g,63254db937c17e8e9200fd54,0,400,401,payment,FinalResultsPage,45342.73787,1,1451.5,6,0,118.45,4,-99,-99,0,0,118.45,5.92,1.6,125.97,4,18,21,24,24,3,5,8,13,1,5,0,0,0,1,20.75,1.5,10,9,31,47,65,87,1.192995578,3.176415129,1,17,8,0.4,72,0,1,3,lztzt0mf,Pilot 2024-02-20,,0
6,a053vavw,60c4e1091b936c7b812e5af4,0,400,401,payment,FinalResultsPage,45342.73789,1,722.43,7,0,181.65,0,-99,-99,0,0,181.65,9.08,0,190.73,0,16,16,17,16,3,5,8,13,1,5,0,0,1,0,20.75,1.5,10,9,31,47,65,61,0.499199023,3.38314908,1,17,8,0.4,72,0,1,3,lztzt0mf,Pilot 2024-02-20,,0
7,5eiyjet7,5c8db07eb1f89a0016777fe0,0,400,401,payment,FinalResultsPage,45342.73789,1,1010.92,8,0,118.45,4,-99,-99,0,0,118.45,5.92,1.6,125.97,4,12,10,12,15,3,5,8,13,5,0,1,0,1,1,20.75,1.5,10,9,31,19,25,22,-0.568152307,2.814125638,1,17,8,0.4,72,0,1,3,lztzt0mf,Pilot 2024-02-20,,0
8,xixbk2wi,5d4869cc692e5400197a980c,0,400,401,payment,FinalResultsPage,45342.73789,1,1159.59,9,0,103.96,5,-99,-99,0,0,103.96,5.2,2,111.16,5,15,15,15,15,3,5,8,13,2,5,0,0,0,1,20.75,1.5,10,9,31,47,65,87,1.192995578,3.176415129,1,17,8,0.4,72,0,1,3,lztzt0mf,Pilot 2024-02-20,,0
9,6w7zusl6,614f89a9441723072040d4de,0,400,401,payment,FinalResultsPage,45342.73797,1,876.38,10,0,161.91,1,-99,-99,0,0,161.91,8.1,0.4,170.41,1,14,14,14,14,3,5,8,13,3,0,0,0,1,1,20.75,1.5,10,9,31,47,65,61,0.895785135,3.346984417,1,17,8,0.4,72,0,1,3,lztzt0mf,Pilot 2024-02-20,,0
10,aq32twsx,5e5e623737be5e1762ad4418,0,400,401,payment,FinalResultsPage,45342.73809,1,394.55,11,0,144.8,2,-99,-99,0,0,144.8,7.24,0.8,152.84,2,14,6,11,35,3,5,8,13,3,0,0,0,0,0,20.75,1.5,10,9,31,47,65,87,0.987775552,3.598105209,1,17,8,0.4,72,0,1,3,lztzt0mf,Pilot 2024-02-20,,0
11,3fjd4p07,5f3d6975ef131710ed519c7a,0,400,401,payment,FinalResultsPage,45342.73834,1,388.05,12,0,27.59,10,-99,-99,-5,85,112.59,5.63,2,120.22,5,6,11,13,12,3,5,8,13,11,0,0,0,1,0,20.75,1.5,10,9,31,47,65,61,0.499199023,3.38314908,1,17,8,0.4,72,0,1,3,lztzt0mf,Pilot 2024-02-20,,0
12,grvtqx2k,59d9d9cd8fd07a0001842484,0,400,401,payment,FinalResultsPage,45342.73882,1,1059.89,13,0,118.45,4,-99,-99,4,-68,50.45,2.52,3.2,56.17,8,16,18,26,32,3,5,8,13,1,5,0,0,0,1,20.75,1.5,10,9,31,47,65,87,1.192995578,3.176415129,1,17,8,0.4,72,0,1,3,lztzt0mf,Pilot 2024-02-20,,0
13,q3eed83d,650d90ebf26334f992c31579,0,400,401,payment,FinalResultsPage,45342.73893,1,788.16,14,0,150.05,2,-99,-99,0,0,150.05,7.5,0.8,158.35,2,16,16,17,19,3,5,8,13,1,5,,,0,0,20.75,1.5,10,9,31,31,31,47,0.161887478,2.946726198,1,17,8,0.4,72,0,1,3,lztzt0mf,Pilot 2024-02-20,,0
14,5t2lsf81,5ecc6ffce3ca77849333e83e,0,400,401,payment,FinalResultsPage,45342.74059,1,1189.72,15,0,118.45,4,-99,-99,0,0,118.45,5.92,1.6,125.97,4,15,15,16,17,3,5,8,13,2,5,0,0,1,1,20.75,1.5,10,9,31,47,65,61,0.895785135,3.346984417,1,17,8,0.4,72,0,1,3,lztzt0mf,Pilot 2024-02-20,,0
15,kr5aqbg4,62bdc30224534809032cf056,0,400,401,payment,FinalResultsPage,45342.74061,1,1465.68,16,0,118.45,4,-99,-99,4,-68,50.45,2.52,3.2,56.17,8,20,25,30,35,3,5,8,13,3,0,0,1,1,0,20.75,1.5,10,9,31,47,40,36,-0.216894756,3.037412323,1,17,8,0.4,72,0,1,3,lztzt0mf,Pilot 2024-02-20,,0
16,2q5u7nzm,64c0a2d8031339ab6ec5e54a,0,400,401,payment,FinalResultsPage,45342.74105,1,672.27,17,0,134.25,3,-99,-99,0,0,134.25,6.71,1.2,142.16,3,18,20,20,22,3,5,8,13,1,5,0,0,0,0,20.75,1.5,10,9,31,47,65,87,0.987775552,3.598105209,1,17,8,0.4,72,0,1,3,lztzt0mf,Pilot 2024-02-20,,0
17,6mcv9x1g,59ac5e9f9fdf6c0001cba8bf,0,400,401,payment,FinalResultsPage,45342.74107,1,1090.24,18,0,72.36,7,-99,-99,0,0,72.36,3.62,2.8,78.78,7,17,17,15,14,3,5,8,13,0,5,0,0,0,0,20.75,1.5,10,9,31,47,65,87,0.987775552,3.598105209,1,17,8,0.4,72,0,1,3,lztzt0mf,Pilot 2024-02-20,,0
18,9rew9efn,5e2e7d79acf5fe45b62f859a,0,400,401,payment,FinalResultsPage,45342.74302,1,1176.59,19,0,118.45,4,-99,-99,0,0,118.45,5.92,1.6,125.97,4,14,15,16,17,3,5,8,13,3,0,0,,0,1,20.75,1.5,10,9,31,47,47,65,1.038900347,3.493052991,1,17,8,0.4,72,0,1,3,lztzt0mf,Pilot 2024-02-20,,0
1,7yie36v5,561487ad7ffc8a0012812266,0,400,401,payment,FinalResultsPage,45342.73785,1,1286.78,2,0,100,4,-99,-99,4,-60,40,2,3.2,45.2,8,17,19,15,16,1,3,6,11,2,5,0,0,0,1,19,1.5,9,7.25,26,44,64,95,1.207900418,2.854248708,1,15,16,0.4,72,0,0,4,lztzt0mf,Pilot 2024-02-20,,0
2,n7xvxqf6,5dd2f94a238a913096c52317,0,400,401,payment,FinalResultsPage,45342.73786,1,1121.92,3,0,100,4,-99,-99,0,0,100,5,1.6,106.6,4,15,16,17,19,1,3,6,11,0,5,0,0,0,0,19,1.5,9,7.25,26,44,64,95,1.024501216,3.591675157,1,15,16,0.4,72,0,0,4,lztzt0mf,Pilot 2024-02-20,,0
3,37fxkf6n,63cff262503b56190be3eb18,0,400,401,payment,FinalResultsPage,45342.73787,1,944.51,4,0,100,4,-99,-99,-4,60,160,8,0,168,0,14,14,16,17,1,3,6,11,1,5,0,1,0,1,19,1.5,9,7.25,26,44,35,49,0.809165368,2.606618116,1,15,16,0.4,72,0,0,4,lztzt0mf,Pilot 2024-02-20,,0
4,tua9l5ic,629e241d171ec6698e05f149,0,400,401,payment,FinalResultsPage,45342.73787,1,1089.02,5,0,100,4,-99,-99,-4,60,160,8,0,168,0,13,14,16,19,1,3,6,11,2,5,0,0,1,1,19,1.5,9,7.25,26,44,64,60,0.93166919,3.352971213,1,15,16,0.4,72,0,0,4,lztzt0mf,Pilot 2024-02-20,,0
5,3z5ajv7g,63254db937c17e8e9200fd54,0,400,401,payment,FinalResultsPage,45342.73787,1,1451.5,6,0,100,4,-99,-99,1,-15,85,4.25,2,91.25,5,15,14,18,26,1,3,6,11,0,5,1,0,1,0,19,1.5,9,7.25,26,16,21,18,-0.768080341,2.852311712,1,15,16,0.4,72,0,0,4,lztzt0mf,Pilot 2024-02-20,,0
6,a053vavw,60c4e1091b936c7b812e5af4,0,400,401,payment,FinalResultsPage,45342.73789,1,722.43,7,0,100,4,-99,-99,-3,45,145,7.25,0.4,152.65,1,14,15,15,16,1,3,6,11,1,5,0,0,,0,19,1.5,9,7.25,26,44,64,64,0.684248718,3.39343371,1,15,16,0.4,72,0,0,4,lztzt0mf,Pilot 2024-02-20,,0
7,5eiyjet7,5c8db07eb1f89a0016777fe0,0,400,401,payment,FinalResultsPage,45342.73789,1,1010.92,8,0,100,4,-99,-99,0,0,100,5,1.6,106.6,4,14,13,15,15,1,3,6,11,1,5,0,1,0,1,19,1.5,9,7.25,26,44,35,49,0.809165368,2.606618116,1,15,16,0.4,72,0,0,4,lztzt0mf,Pilot 2024-02-20,,0
8,xixbk2wi,5d4869cc692e5400197a980c,0,400,401,payment,FinalResultsPage,45342.73789,1,1159.59,9,0,100,4,-99,-99,0,0,100,5,1.6,106.6,4,15,16,20,17,1,3,6,11,0,5,1,0,0,1,19,1.5,9,7.25,26,16,21,28,0.628617543,1.633252296,1,15,16,0.4,72,0,0,4,lztzt0mf,Pilot 2024-02-20,,0
9,6w7zusl6,614f89a9441723072040d4de,0,400,401,payment,FinalResultsPage,45342.73797,1,876.38,10,0,100,4,-99,-99,-3,45,145,7.25,0.4,152.65,1,14,14,14,14,1,3,6,11,1,5,0,0,1,1,19,1.5,9,7.25,26,44,64,60,0.93166919,3.352971213,1,15,16,0.4,72,0,0,4,lztzt0mf,Pilot 2024-02-20,,0
10,aq32twsx,5e5e623737be5e1762ad4418,0,400,401,payment,FinalResultsPage,45342.73809,1,394.55,11,0,100,4,-99,-99,-2,30,130,6.5,0.8,137.3,2,2,9,10,5,1,3,6,11,13,0,0,1,0,1,19,1.5,9,7.25,26,44,35,49,0.809165368,2.606618116,1,15,16,0.4,72,0,0,4,lztzt0mf,Pilot 2024-02-20,,0
11,3fjd4p07,5f3d6975ef131710ed519c7a,0,400,401,payment,FinalResultsPage,45342.73834,1,388.05,12,0,100,4,-99,-99,6,-90,10,0.5,4,14.5,10,7,7,10,8,1,3,6,11,8,0,0,1,0,0,19,1.5,9,7.25,26,44,35,49,0.216899216,3.212145181,1,15,16,0.4,72,0,0,4,lztzt0mf,Pilot 2024-02-20,,0
12,grvtqx2k,59d9d9cd8fd07a0001842484,0,400,401,payment,FinalResultsPage,45342.73882,1,1059.89,13,0,100,4,-99,-99,5,-75,25,1.25,3.6,29.85,9,13,15,20,25,1,3,6,11,2,5,0,0,0,1,19,1.5,9,7.25,26,44,64,95,1.207900418,2.854248708,1,15,16,0.4,72,0,0,4,lztzt0mf,Pilot 2024-02-20,,0
13,q3eed83d,650d90ebf26334f992c31579,0,400,401,payment,FinalResultsPage,45342.73893,1,788.16,14,0,100,4,-99,-99,0,0,100,5,1.6,106.6,4,14,15,19,18,1,3,6,11,1,5,,0,0,0,19,1.5,9,7.25,26,26,44,64,0.684248718,3.39343371,1,15,16,0.4,72,0,0,4,lztzt0mf,Pilot 2024-02-20,,0
14,5t2lsf81,5ecc6ffce3ca77849333e83e,0,400,401,payment,FinalResultsPage,45342.74059,1,1189.72,15,0,100,4,-99,-99,0,0,100,5,1.6,106.6,4,14,14,15,15,1,3,6,11,1,5,0,0,1,1,19,1.5,9,7.25,26,44,64,60,0.93166919,3.352971213,1,15,16,0.4,72,0,0,4,lztzt0mf,Pilot 2024-02-20,,0
